tid,vid,weight,name,descr,co_orie,lib_court
"855","2017_iatss_mono","855","ADAPTATION EMPLOI (IATSS)","ADAPTATION","PA01","ADAPTATION"
"863","2017_iatss_mono","863","BUREAUTIQUE ET APPLICATIONS NATIONALES (IATSS)","BUREAUTIQU","PA09","BUREAUTIQU"
"856","2017_iatss_mono","856","DÉVELOPPEMENT DES COMPÉTENCES MÉTIER (IATSS)","CMP.METIER","PA02","CMP.METIER"
"859","2017_iatss_mono","859","FORM. DE FORMATEURS INTERNES ET DE TUTEURS (IATSS)","RESSOURCES","PA05","RESSOURCES"
"857","2017_iatss_mono","857","FORMATIONS QUALIFIANTES ET CERTIFIANTES (IATSS)","FORMATIONS","PA03","FORMATIONS"
"861","2017_iatss_mono","861","LA SANTE ET SECURITE AU TRAVAIL (IATSS)","SANTE.SEC.","PA07","SANTE.SEC."
"862","2017_iatss_mono","862","LES CONCOURS ADMINISTRATIFS (IATSS)","CONCOURS","PA08","CONCOURS"
"860","2017_iatss_mono","860","MOBILITÉ DES PERSONNELS (IATSS)","MOBILITE","PA06","MOBILITE"
"858","2017_iatss_mono","858","PERSP. PERSONNELLES ET OUV. CULTURELLE (IATSS)","PERSPECTIV","PA04","PERSPECTIV"
