tid,vid,weight,name,descr,co_orie,lib_court
"881","2017_encadr_mono","881","FORMATION DE FORMATEURS ENCADREMENT","FO FO ENC","4E84","FO FO ENC"
"884","2017_encadr_mono","884","FORMATIONS CERTIFIANTES ENCADREMENT","FO CERT ENC","4E85","FO CERT ENC"
"876","2017_encadr_mono","876","GRH ENCADREMENT","GHR ENC","4E81","GHR ENC"
"873","2017_encadr_mono","873","PERSONNELS D'ENCADREMENT","PERS ENCAD","4E80","PERS ENCAD"
"878","2017_encadr_mono","878","PILOTAGE ENCADREMENT","PILOT ENC","4E82","PILOT ENC"
"879","2017_encadr_mono","879","PRÉVENTION DES RISQUES ENCADREMENT","PREV RISC ENC","4E83","PREV RISC ENC"
