tid,vid,weight,name,descr,co_orie,lib_court
"751","2017_2d_mono","751","ACCUEIL DES NOUVEAUX ENSEIGNANTS & CPE","NVX ENSCPE","2S10","NVX ENSCPE"
"752","2017_2d_mono","752","ALLEMAND (2ND DEGRE)","ALL. 2D","2S11","ALL. 2D"
"753","2017_2d_mono","753","ANGLAIS (2ND DEGRE)","ANGL. 2D","2S12","ANGL. 2D"
"754","2017_2d_mono","754","ARTS APPLIQUÉS EN LP","ARTS AP.LP","2S13","ARTS AP.LP"
"781","2017_2d_mono","781","ARTS ET CULTURE (2ND DEGRE)","ARTS CULT","2S43","ARTS CULT"
"755","2017_2d_mono","755","ARTS PLASTIQUES (2ND DEGRE)","ARTS PL 2D","2S15","ARTS PL 2D"
"782","2017_2d_mono","782","ASH (HANDICAP, 2ND DEGRE)","ASH 2D","2S44","ASH 2D"
"756","2017_2d_mono","756","AUTRES LANGUES (2ND DEGRE)","AUT LV 2D","2S16","AUT LV 2D"
"783","2017_2d_mono","783","COMPÉTENCES GÉNÉRALES - VIE SCOLAIRE","COMP.GÉNÉ.","2S45","COMP.GÉNÉ."
"757","2017_2d_mono","757","DOCUMENTATION (2ND DEGRE)","DOCUM. 2D","2S17","DOCUM. 2D"
"784","2017_2d_mono","784","DUCATION AU DÉVELOPPEMENT DURABLE","ED.DEV.DUR","2S46","ED.DEV.DUR"
"785","2017_2d_mono","785","DUCATION AUX MÉDIAS","ED.MÉDIAS","2S47","ED.MÉDIAS"
"786","2017_2d_mono","786","DUCATION PRIORITAIRE","ED.PRIOR.","2S48","ED.PRIOR."
"758","2017_2d_mono","758","ECONOMIE-GESTION EN LP","ECO GES LP","2S18","ECO GES LP"
"759","2017_2d_mono","759","ECONOMIE-GESTION EN LT","ECO GES LT","2S19","ECO GES LT"
"760","2017_2d_mono","760","EDUCATION MUSICALE (2ND DEGRE)","ED.MUS.2D","2S20","ED.MUS.2D"
"761","2017_2d_mono","761","EDUCATION PHYSIQUE ET SPORTIVE (2ND DEGRE)","EPS 2D","2S21","EPS 2D"
"801","2017_2d_mono","801","EGALITÉ FILLES-GARÇONS","EGALITE FG","2S64","EGALITE FG"
"788","2017_2d_mono","788","ENSEIGNEMENTS ARTISTIQUES","ENS.ARTIS.","2S50","ENS.ARTIS."
"789","2017_2d_mono","789","ENSEIGNT. DE LA SANTÉ ET SECURITÉ AU TRAVAIL","ENS.SANSEC","2S51","ENS.SANSEC"
"762","2017_2d_mono","762","ESPAGNOL (2ND DEGRE)","ESP. 2D","2S22","ESP. 2D"
"790","2017_2d_mono","790","FORMATION DE FORMATEURS ET TUTEURS (2ND DEGRE)","FORM.FORM.","2S52","FORM.FORM."
"768","2017_2d_mono","768","FORMATIONS CERTIFIANTES ET DIPLÔMANTES (2D DEGRÉ)","CERTIFDIPL","2S28","CERTIFDIPL"
