tid,vid,weight,name,descr,co_orie,lib_court
"792","2017_2d_mono","792","HISTOIRE DES ARTS","HIST. ARTS","2S54","HIST. ARTS"
"763","2017_2d_mono","763","HISTOIRE-GÉOGRAPHIE (2ND DEGRE)","HIS.GÉO 2D","2S23","HIS.GÉO 2D"
"802","2017_2d_mono","802","INNOVATION","INNOVATION","2S65","INNOVATION"
"764","2017_2d_mono","764","INTERLANGUES (2ND DEGRE)","INTERLV 2D","2S24","INTERLV 2D"
"765","2017_2d_mono","765","ITALIEN (2ND DEGRE)","ITALIEN 2D","2S25","ITALIEN 2D"
"767","2017_2d_mono","767","LETTRES / HISTOIRE GÉOGRAPHIE (2ND DEGRE)","LE.HI/G 2D","2S27","LE.HI/G 2D"
"769","2017_2d_mono","769","LETTRES / LANGUES VIVANTES EN LP","LET. LV LP","2S29","LET. LV LP"
"766","2017_2d_mono","766","LETTRES ET LANGUES ANCIENNES","LET LV ANC","2S26","LET LV ANC"
"787","2017_2d_mono","787","LÈVES À BESOINS ÉDUCATIFS PARTICULIERS","EL.ED.PART","2S49","EL.ED.PART"
"770","2017_2d_mono","770","MATHÉMATIQUES (2ND DEGRE)","MATH. 2D","2S30","MATH. 2D"
"771","2017_2d_mono","771","MATHÉMATIQUES-SCIENCES EN LP","MAT-SC. LP","2S31","MAT-SC. LP"
"793","2017_2d_mono","793","MOBILITE DES PERSONNELS (2D DEGRÉ)","MOB. PERS","2S55","MOB. PERS"
"794","2017_2d_mono","794","NUMÉRIQUE PÉDAGOGIQUE (2ND DEGRE)","NUMERIQ.2D","2S57","NUMERIQ.2D"
"800","2017_2d_mono","800","NUMÉRIQUE-SYSTÈMES D'INFORMATION (2ND DEGRE)","NUMERIQ.SI","2S63","NUMERIQ.SI"
"795","2017_2d_mono","795","ORIENTATION","ORIENTAT.","2S58","ORIENTAT."
"796","2017_2d_mono","796","OUVERTURE EUROPÉENNE ET INTERNATIONALE","OUV EUR.IN","2S59","OUV EUR.IN"
"772","2017_2d_mono","772","PHILOSOPHIE","PHILO","2S32","PHILO"
"797","2017_2d_mono","797","RAEP","RAEP","2S60","RAEP"
"799","2017_2d_mono","799","REFONDATION DE LA SCOLARITE OBLIGATOIRE","SCOL.OB.2D","2S62","SCOL.OB.2D"
"798","2017_2d_mono","798","SANTÉ ET PRÉVENTION DES RISQUES AU TRAVAIL","SANTÉ PRÉV","2S61","SANTÉ PRÉV"
"773","2017_2d_mono","773","SBSSA (LP)","SBSSA (LP)","2S33","SBSSA (LP)"
"774","2017_2d_mono","774","SCIENCES DE LA VIE ET DE LA TERRE","SVT","2S34","SVT"
"775","2017_2d_mono","775","SCIENCES ÉCONOMIQUES ET SOCIALES","SC.ECO/SOC","2S35","SC.ECO/SOC"
"776","2017_2d_mono","776","SCIENCES ET TECHNIQUES INDUSTRIELLES EN LP","SC.T.IN.LP","2S36","SC.T.IN.LP"
"777","2017_2d_mono","777","SCIENCES ET TECHNIQUES INDUSTRIELLES EN LT","SC.T.IN.LT","2S37","SC.T.IN.LT"
"778","2017_2d_mono","778","SCIENCES PHYSIQUES ET CHIMIQUES","SC.PH./CH.","2S38","SC.PH./CH."
"779","2017_2d_mono","779","SMS, BIOTECHNOLOGIES, BIOCHIMIE (LT)","SMS BIO.","2S39","SMS BIO."
"780","2017_2d_mono","780","TECHNOLOGIE AU COLLÈGE","TECHNO CLG","2S40","TECHNO CLG"
"791","2017_2d_mono","791","VALEURS DE LA RÉPUBLIQUE ET ENS. MORAL ET CIVIQUE","MORAL.CIV.","2S53","MORAL.CIV."
