tid,vid,weight,name,descr,co_orie,lib_court
"864","2017_iatss_multi","864","ADAPTATION EMPLOI (IATSS)","ADAPTATION","PA01","ADAPTATION"
"872","2017_iatss_multi","872","BUREAUTIQUE ET APPLICATIONS NATIONALES (IATSS)","BUREAUTIQU","PA09","BUREAUTIQU"
"865","2017_iatss_multi","865","DÉVELOPPEMENT DES COMPÉTENCES MÉTIER (IATSS)","CMP.METIER","PA02","CMP.METIER"
"868","2017_iatss_multi","868","FORM. DE FORMATEURS INTERNES ET DE TUTEURS (IATSS)","RESSOURCES","PA05","RESSOURCES"
"866","2017_iatss_multi","866","FORMATIONS QUALIFIANTES ET CERTIFIANTES (IATSS)","FORMATIONS","PA03","FORMATIONS"
"870","2017_iatss_multi","870","LA SANTE ET SECURITE AU TRAVAIL (IATSS)","SANTE.SEC.","PA07","SANTE.SEC."
"871","2017_iatss_multi","871","LES CONCOURS ADMINISTRATIFS (IATSS)","CONCOURS","PA08","CONCOURS"
"869","2017_iatss_multi","869","MOBILITÉ DES PERSONNELS (IATSS)","MOBILITE","PA06","MOBILITE"
"867","2017_iatss_multi","867","PERSP. PERSONNELLES ET OUV. CULTURELLE (IATSS)","PERSPECTIV","PA04","PERSPECTIV"
