tid,vid,weight,name,descr,co_orie,lib_court
"731","2017_1d_multi","731","CLIMAT SCOL., COMPÉTENCES SOC & CIVIQUES (1D)","CLIM.SCOL.","1P07","CLIM.SCOL."
"730","2017_1d_multi","730","CULTURE HUMANISTE (1ER DEGRE)","CULT.HUM1D","1P06","CULT.HUM1D"
"732","2017_1d_multi","732","ECOLE INCLUSIVE:BESOINS ÉDUCATIFS PARTICULIERS 1D","INCLUSIVE","1P08","INCLUSIVE"
"725","2017_1d_multi","725","ECOLE MATERNELLE","EC. MAT.","1P01","EC. MAT."
"737","2017_1d_multi","737","EDUCATION PRIORITAIRE","EDUC.PRIOR","1P13","EDUC.PRIOR"
"736","2017_1d_multi","736","FORMATION CONTINUE DES DIRECTEURS D'ECOLE","FC DIR.EC.","1P12","FC DIR.EC."
"735","2017_1d_multi","735","FORMATION DE FORMATEURS (1D)","FORM.FORM.","1P11","FORM.FORM."
"734","2017_1d_multi","734","FORMATION PROFESSIONNALISANTE OU QUALIFIANTE (1D)","FORM.PROF.","1P10","FORM.PROF."
"727","2017_1d_multi","727","LANGUES VIVANTES (1ER DEGRE)","LANG.VIV.","1P03","LANG.VIV."
"726","2017_1d_multi","726","MAITRISE DE LA LANGUE (1ER DEGRE)","MAITR.LANG","1P02","MAITR.LANG"
"728","2017_1d_multi","728","MATHS, CULTURE SCIENTIFIQUE, TECHNO (1ER DEGRE)","MATHS SC.","1P04","MATHS SC."
"733","2017_1d_multi","733","NOUVEAU CYCLE 3","NV CYCLE 3","1P09","NV CYCLE 3"
"729","2017_1d_multi","729","NUMÉRIQUE (1ER DEGRE)","NUMÉRIQ.1D","1P05","NUMÉRIQ.1D"
