tid,vid,weight,name,descr,co_orie,lib_court
"882","2017_encadr_multi","882","FORMATION DE FORMATEURS ENCADREMENT","FO FO ENC","4E84","FO FO ENC"
"883","2017_encadr_multi","883","FORMATIONS CERTIFIANTES ENCADREMENT","FO CERT ENC","4E85","FO CERT ENC"
"875","2017_encadr_multi","875","GRH ENCADREMENT","GHR ENC","4E81","GHR ENC"
"874","2017_encadr_multi","874","PERSONNELS D'ENCADREMENT","PERS ENCAD","4E80","PERS ENCAD"
"877","2017_encadr_multi","877","PILOTAGE ENCADREMENT","PILOT ENC","4E82","PILOT ENC"
"880","2017_encadr_multi","880","PRÉVENTION DES RISQUES ENCADREMENT","PREV RISC ENC","4E83","PREV RISC ENC"
